instance,total_tokens_title,total_tokens_content,total_words_title,total_words_content,total_filtered_words_title,total_filtered_words_content,count_exclamations_title,proportion_exclamations_title,count_exclamations_content,proportion_exclamations_content,count_question_title,proportion_question_title,count_question_content,proportion_question_content,count_allcaps_title,proportion_allcaps_title,count_allcaps_content,proportion_allcaps_content,count_contractions_title,proportion_contractions_title,count_contractions_content,proportion_contractions_content,count_words_in_title_in_content,proportion_words_in_title_in_content,sentiment_title,starts_with_number_content,len_longest_word_content,starts_with_5W1H_content,starts_with_5W1H_title,truth_mean,truth_median,truth_mode,label
1,22,1366,21,1268,16,706,0,0,0,0,0,0,0,0,1,0.047619047619048,17,0.013406940063092,0,0,5,0.004149377593361,92,0.130311614730878,0.3,0,15,0,0,0.13333333332,0,0,0
2,13,435,13,391,10,258,0,0,0,0,0,0,0,0,1,0.076923076923077,21,0.053708439897698,0,0,1,0.002645502645503,7,0.027131782945737,0,0,17,0,0,1,1,1,1
3,18,1256,17,1124,14,678,0,0,0,0,0,0,1,0.000796178343949,0,0,10,0.008896797153025,0,0,0,0,93,0.13716814159292,-0.369318181818182,0,14,1,0,0.46666666664,0.3333333333,0.3333333333,0
4,18,121,16,103,14,68,1,0.055555555555556,4,0.03305785123967,0,0,0,0,1,0.0625,1,0.009708737864078,0,0,2,0.019607843137255,2,0.029411764705882,0,0,14,0,0,0.93333333332,1,1,1
5,17,539,17,491,12,328,0,0,0,0,0,0,0,0,0,0,9,0.018329938900204,0,0,1,0.002070393374741,37,0.11280487804878,-0.155555555555556,0,16,0,0,0,0,0,0
6,8,216,8,192,7,129,0,0,0,0,0,0,0,0,0,0,3,0.015625,0,0,0,0,12,0.093023255813954,0,0,13,0,0,0.06666666666,0,0,0
7,13,1506,12,1318,10,853,0,0,1,0.00066401062417,0,0,1,0.00066401062417,0,0,14,0.01062215477997,0,0,0,0,20,0.023446658851114,0,0,19,0,0,0.33333333332,0.3333333333,0.3333333333,0
8,14,267,14,232,13,141,0,0,2,0.00749063670412,0,0,1,0.00374531835206,1,0.071428571428572,4,0.017241379310345,0,0,1,0.004464285714286,9,0.063829787234043,0.168181818181818,0,16,0,0,0.06666666666,0,0,0
9,9,931,9,836,6,511,0,0,0,0,0,0,0,0,0,0,9,0.010765550239235,0,0,11,0.013496932515338,7,0.013698630136986,0,0,19,0,0,0.3333333333,0.3333333333,0.3333333333,0
10,9,253,9,234,8,143,0,0,0,0,0,0,0,0,0,0,3,0.012820512820513,0,0,0,0,15,0.104895104895105,0,0,12,0,0,0.13333333332,0,0,0
11,13,650,11,565,9,436,0,0,0,0,0,0,0,0,0,0,4,0.007079646017699,0,0,0,0,29,0.06651376146789,0.583333333333333,0,15,0,0,0.73333333332,1,1,1
12,13,4449,12,3990,9,2393,0,0,0,0,0,0,4,0.000899078444594,3,0.25,65,0.016290726817043,0,0,46,0.011858726475896,33,0.013790221479315,0,0,17,0,0,0.59999999996,0.6666666666,0.6666666666,1
13,17,848,15,759,15,485,0,0,0,0,0,0,0,0,0,0,26,0.034255599472991,0,0,10,0.013458950201884,39,0.080412371134021,0.09375,0,19,0,0,0.26666666666,0,0,0
14,13,497,12,448,9,284,0,0,0,0,0,0,0,0,0,0,6,0.013392857142857,0,0,3,0.006802721088435,31,0.109154929577465,0.1,0,16,0,0,0,0,0,0
15,36,204,36,183,19,112,0,0,0,0,0,0,4,0.019607843137255,0,0,5,0.027322404371585,0,0,0,0,3,0.026785714285714,0.425,0,12,0,0,0.06666666666,0,0,0
16,12,2040,11,1781,10,1137,0,0,0,0,0,0,4,0.001960784313725,1,0.090909090909091,34,0.019090398652443,0,0,0,0,25,0.021987686895339,0.4,0,19,0,0,0.53333333332,0.3333333333,0.3333333333,0
17,12,790,12,699,10,390,0,0,0,0,0,0,2,0.00253164556962,0,0,20,0.028612303290415,0,0,0,0,22,0.056410256410257,0.6,0,13,0,0,0.33333333332,0,0,0
18,14,811,13,747,10,490,0,0,0,0,0,0,0,0,0,0,6,0.008032128514056,0,0,0,0,44,0.089795918367347,-0.6,0,15,0,0,0.13333333332,0,0,0
19,8,1678,8,1494,7,900,0,0,0,0,0,0,2,0.00119189511323,0,0,59,0.039491298527443,0,0,28,0.019363762102351,27,0.03,0,0,16,0,0,0.5333333333,0.6666666666,0.6666666666,1
20,11,1126,11,989,8,601,0,0,0,0,0,0,1,0.00088809946714,0,0,6,0.006066734074823,0,0,1,0.001011122345804,27,0.044925124792013,0,0,17,0,0,0.13333333332,0,0,0
21,15,1440,15,1301,11,864,0,0,0,0,0,0,1,0.000694444444444,0,0,15,0.011529592621061,0,0,0,0,48,0.055555555555556,0,0,20,0,0,0.33333333332,0.3333333333,0.3333333333,0
22,18,509,18,449,12,278,0,0,0,0,0,0,2,0.003929273084479,2,0.111111111111111,3,0.006681514476615,0,0,7,0.015981735159817,22,0.079136690647482,0,0,18,0,0,0.59999999996,0.6666666666,0.6666666666,1
23,11,1403,11,1234,8,746,0,0,0,0,0,0,0,0,0,0,19,0.015397082658023,0,0,9,0.007692307692308,30,0.040214477211796,0,0,15,0,0,0.33333333332,0.3333333333,0.3333333333,0
24,13,52,13,38,13,25,0,0,0,0,0,0,1,0.019230769230769,0,0,2,0.052631578947369,0,0,0,0,2,0.08,0,0,8,0,0,0.26666666666,0,0,0
25,10,1067,10,936,8,578,0,0,0,0,0,0,0,0,0,0,14,0.014957264957265,0,0,8,0.008686210640608,41,0.070934256055363,0,0,14,0,0,0.06666666666,0,0,0
26,7,48,7,39,7,29,0,0,2,0.041666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,8,0,0,0.79999999998,1,1,1
27,14,1897,13,1653,9,1026,0,0,0,0,0,0,0,0,0,0,25,0.015124016938899,1,0.083333333333333,16,0.009834050399508,94,0.091617933723197,0,0,17,0,0,0.39999999998,0.3333333333,0,0
28,8,155,8,131,8,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.007692307692308,9,0.091836734693878,-0.15,0,11,0,0,0.13333333332,0,0,0
