instance,total_tokens_title,total_tokens_content,total_words_title,total_words_content,total_filtered_words_title,total_filtered_words_content,count_exclamations_title,proportion_exclamations_title,count_exclamations_content,proportion_exclamations_content,count_question_title,proportion_question_title,count_question_content,proportion_question_content,count_allcaps_title,proportion_allcaps_title,count_allcaps_content,proportion_allcaps_content,count_contractions_title,proportion_contractions_title,count_contractions_content,proportion_contractions_content,count_words_in_title_in_content,proportion_words_in_title_in_content,sentiment_title,starts_with_number_title,starts_with_number_content,len_longest_word_content,starts_with_5W1H_content,starts_with_5W1H_title,number_of_proper_nouns_in_content,proportion_number_proper_nouns_in_content,truth_mean,truth_median,truth_mode,label
1,22,1366,21,1268,16,706,0,0.0,0,0.0,0,0.0,0,0.0,1,0.047619047619047616,17,0.013406940063091483,0,0.0,5,0.004149377593360996,92,0.13031161473087818,0.30000000000000004,0,0,15,0,0,89,0.07018927444794952,0.13333333332,0.0,0.0,0
2,13,435,13,391,10,258,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07692307692307693,21,0.05370843989769821,0,0.0,1,0.0026455026455026454,7,0.027131782945736434,0.0,0,0,17,0,0,115,0.29411764705882354,1.0,1.0,1.0,1
3,18,1256,17,1124,14,678,0,0.0,0,0.0,0,0.0,1,0.0007961783439490446,0,0.0,10,0.008896797153024912,0,0.0,0,0.0,93,0.13716814159292035,-0.3693181818181818,0,0,14,1,0,170,0.1512455516014235,0.46666666664,0.3333333333,0.3333333333,0
4,18,121,16,103,14,68,1,0.05555555555555555,4,0.03305785123966942,0,0.0,0,0.0,1,0.0625,1,0.009708737864077669,0,0.0,2,0.0196078431372549,2,0.029411764705882353,0.0,0,0,14,0,0,12,0.11650485436893204,0.93333333332,1.0,1.0,1
5,17,539,17,491,12,328,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.018329938900203666,0,0.0,1,0.002070393374741201,37,0.11280487804878049,-0.15555555555555559,0,0,16,0,0,85,0.17311608961303462,0.0,0.0,0.0,0
6,8,216,8,192,7,129,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.015625,0,0.0,0,0.0,12,0.09302325581395349,0.0,0,0,13,0,0,37,0.19270833333333334,0.06666666666,0.0,0.0,0
7,13,1506,12,1318,10,853,0,0.0,1,0.0006640106241699867,0,0.0,1,0.0006640106241699867,0,0.0,14,0.010622154779969651,0,0.0,0,0.0,20,0.023446658851113716,0.0,0,0,19,0,0,123,0.09332321699544764,0.33333333332,0.3333333333,0.3333333333,0
8,14,267,14,232,13,141,0,0.0,2,0.00749063670411985,0,0.0,1,0.003745318352059925,1,0.07142857142857142,4,0.017241379310344827,0,0.0,1,0.004464285714285714,9,0.06382978723404255,0.16818181818181818,0,0,16,0,0,30,0.12931034482758622,0.06666666666,0.0,0.0,0
9,9,931,9,836,6,511,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,9,0.01076555023923445,0,0.0,11,0.013496932515337423,7,0.0136986301369863,0.0,0,0,19,0,0,77,0.09210526315789473,0.3333333333,0.3333333333,0.3333333333,0
10,9,253,9,234,8,143,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.01282051282051282,0,0.0,0,0.0,15,0.1048951048951049,0.0,0,0,12,0,0,39,0.16666666666666666,0.13333333332,0.0,0.0,0
11,13,650,11,565,9,436,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,4,0.007079646017699115,0,0.0,0,0.0,29,0.06651376146788991,0.5833333333333334,0,0,15,0,0,120,0.21238938053097345,0.73333333332,1.0,1.0,1
12,13,4449,12,3990,9,2393,0,0.0,0,0.0,0,0.0,4,0.0008990784445942908,3,0.25,65,0.016290726817042606,0,0.0,46,0.011858726475895849,33,0.013790221479314668,0.0,0,0,17,0,0,505,0.12656641604010024,0.59999999996,0.6666666666,0.6666666666,1
13,17,848,15,759,15,485,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,26,0.034255599472990776,0,0.0,10,0.013458950201884253,39,0.08041237113402062,0.09375,0,0,19,0,0,111,0.14624505928853754,0.26666666666,0.0,0.0,0
14,13,497,12,448,9,284,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.013392857142857142,0,0.0,3,0.006802721088435374,31,0.10915492957746478,0.1,0,0,16,0,0,65,0.14508928571428573,0.0,0.0,0.0,0
15,36,204,36,183,19,112,0,0.0,0,0.0,0,0.0,4,0.0196078431372549,0,0.0,5,0.0273224043715847,0,0.0,0,0.0,3,0.026785714285714284,0.42500000000000004,0,0,12,0,0,21,0.11475409836065574,0.06666666666,0.0,0.0,0
16,12,2040,11,1781,10,1137,0,0.0,0,0.0,0,0.0,4,0.00196078431372549,1,0.09090909090909091,34,0.01909039865244245,0,0.0,0,0.0,25,0.02198768689533861,0.4,0,0,19,0,0,230,0.1291409320606401,0.53333333332,0.3333333333,0.3333333333,0
17,12,790,12,699,10,390,0,0.0,0,0.0,0,0.0,2,0.002531645569620253,0,0.0,20,0.02861230329041488,0,0.0,0,0.0,22,0.05641025641025641,0.6,0,0,13,0,0,63,0.09012875536480687,0.33333333332,0.0,0.0,0
18,14,811,13,747,10,490,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.008032128514056224,0,0.0,0,0.0,44,0.08979591836734693,-0.6,0,0,15,0,0,101,0.13520749665327977,0.13333333332,0.0,0.0,0
19,8,1678,8,1494,7,900,0,0.0,0,0.0,0,0.0,2,0.0011918951132300357,0,0.0,59,0.039491298527443104,0,0.0,28,0.019363762102351315,27,0.03,0.0,0,0,16,0,0,127,0.08500669344042838,0.5333333333,0.6666666666,0.6666666666,1
20,11,1126,11,989,8,601,0,0.0,0,0.0,0,0.0,1,0.0008880994671403197,0,0.0,6,0.006066734074823054,0,0.0,1,0.0010111223458038423,27,0.04492512479201331,0.0,0,0,17,0,0,85,0.0859453993933266,0.13333333332,0.0,0.0,0
21,15,1440,15,1301,11,864,0,0.0,0,0.0,0,0.0,1,0.0006944444444444445,0,0.0,15,0.011529592621060722,0,0.0,0,0.0,48,0.05555555555555555,0.0,0,0,20,0,0,167,0.12836279784780938,0.33333333332,0.3333333333,0.3333333333,0
22,18,509,18,449,12,278,0,0.0,0,0.0,0,0.0,2,0.003929273084479371,2,0.1111111111111111,3,0.0066815144766146995,0,0.0,7,0.01598173515981735,22,0.07913669064748201,0.0,0,0,18,0,0,52,0.11581291759465479,0.59999999996,0.6666666666,0.6666666666,1
23,11,1403,11,1234,8,746,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,19,0.01539708265802269,0,0.0,9,0.007692307692307693,30,0.040214477211796246,0.0,0,0,15,0,0,88,0.0713128038897893,0.33333333332,0.3333333333,0.3333333333,0
24,13,52,13,38,13,25,0,0.0,0,0.0,0,0.0,1,0.019230769230769232,0,0.0,2,0.05263157894736842,0,0.0,0,0.0,2,0.08,0.0,0,0,8,0,0,8,0.21052631578947367,0.26666666666,0.0,0.0,0
25,10,1067,10,936,8,578,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,14,0.014957264957264958,0,0.0,8,0.008686210640608035,41,0.07093425605536333,0.0,0,0,14,0,0,116,0.12393162393162394,0.06666666666,0.0,0.0,0
26,7,48,7,39,7,29,0,0.0,2,0.041666666666666664,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.5,0,0,8,0,0,7,0.1794871794871795,0.79999999998,1.0,1.0,1
27,14,1897,13,1653,9,1026,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,0.015124016938898971,1,0.08333333333333333,16,0.009834050399508297,94,0.09161793372319688,0.0,0,0,17,0,0,128,0.07743496672716274,0.39999999997999997,0.3333333333,0.0,0
28,8,155,8,131,8,98,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.007692307692307693,9,0.09183673469387756,-0.15000000000000002,0,0,11,0,0,26,0.1984732824427481,0.13333333332,0.0,0.0,0
29,9,522,9,461,8,291,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,6,0.013015184381778741,0,0.0,0,0.0,14,0.048109965635738834,0.0,0,0,15,0,0,63,0.13665943600867678,0.26666666666,0.0,0.0,0
