instance,total_tokens_title,total_tokens_content,total_words_title,total_words_content,total_filtered_words_title,total_filtered_words_content,count_exclamations_title,proportion_exclamations_title,count_exclamations_content,proportion_exclamations_content,count_question_title,proportion_question_title,count_question_content,proportion_question_content,count_allcaps_title,proportion_allcaps_title,count_allcaps_content,proportion_allcaps_content,count_contractions_title,proportion_contractions_title,count_contractions_content,proportion_contractions_content,count_words_in_title_in_content,proportion_words_in_title_in_content,sentiment_title,starts_with_number_title,starts_with_number_content,len_longest_word_content,starts_with_5W1H_content,starts_with_5W1H_title,number_of_proper_nouns_in_content,proportion_number_proper_nouns_in_content,proportion_of_stop_words_in_title,truth_mean,truth_median,truth_mode,label
1,20,789,18,719,15,428,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,25,0.03477051460361613,0,0.0,2,0.002797202797202797,37,0.08644859813084112,0.0,0,0,13,0,0,46,0.06397774687065369,0.16666666666666666,0.2,0.0,0.0,0
2,8,80,8,71,7,42,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.014084507042253521,0,0.0,0,0.0,1,0.023809523809523808,0.0,0,0,12,0,0,7,0.09859154929577464,0.125,0.13333334,0.0,0.0,0
3,10,805,10,713,8,427,0,0.0,0,0.0,0,0.0,1,0.0012422360248447205,1,0.1,22,0.030855539971949508,0,0.0,8,0.011510791366906475,44,0.10304449648711944,-0.3888888888888889,0,0,18,0,0,88,0.12342215988779803,0.2,0.53333336,0.6666667,0.6666667,1
4,11,2122,11,1891,10,1242,0,0.0,0,0.0,0,0.0,3,0.001413760603204524,0,0.0,7,0.0037017451084082496,0,0.0,0,0.0,76,0.061191626409017714,-0.13333333333333333,0,0,19,1,1,249,0.13167636171337915,0.09090909090909091,0.46666667,0.33333334,0.33333334,0
5,6,1123,6,986,4,578,0,0.0,0,0.0,0,0.0,4,0.003561887800534283,0,0.0,5,0.005070993914807302,0,0.0,2,0.0020512820512820513,21,0.03633217993079585,0.4,0,0,17,0,0,48,0.0486815415821501,0.3333333333333333,0.6666667,0.6666667,1.0,1
6,12,796,12,714,12,426,0,0.0,0,0.0,0,0.0,1,0.001256281407035176,0,0.0,10,0.014005602240896359,0,0.0,0,0.0,21,0.04929577464788732,0.013888888888888886,0,0,17,0,0,129,0.18067226890756302,0.0,0.73333335,0.6666667,1.0,1
7,13,1150,10,1026,10,661,0,0.0,1,0.0008695652173913044,0,0.0,4,0.0034782608695652175,1,0.1,20,0.01949317738791423,0,0.0,6,0.00597609561752988,45,0.0680786686838124,0.5,0,0,16,0,0,159,0.15497076023391812,0.0,0.0,0.0,0.0,0
8,11,137,11,129,8,79,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.015503875968992248,0,0.0,0,0.0,3,0.0379746835443038,0.3333333333333333,0,0,14,0,0,12,0.09302325581395349,0.2727272727272727,0.2,0.33333334,0.33333334,0
9,13,61,12,53,9,36,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.027777777777777776,0.0,0,0,10,0,0,3,0.05660377358490566,0.16666666666666666,0.6,0.33333334,0.33333334,0
10,15,807,14,709,12,465,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07142857142857142,16,0.022566995768688293,0,0.0,6,0.008583690987124463,47,0.1010752688172043,0.0,0,0,15,0,0,98,0.1382228490832158,0.14285714285714285,0.13333334,0.0,0.0,0
11,11,421,10,379,10,232,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,0.0079155672823219,0,0.0,0,0.0,20,0.08620689655172414,-0.17500000000000002,0,0,16,0,0,38,0.10026385224274406,0.0,0.13333334,0.0,0.0,0
12,13,411,12,377,11,218,0,0.0,0,0.0,0,0.0,0,0.0,1,0.08333333333333333,6,0.015915119363395226,0,0.0,0,0.0,19,0.0871559633027523,-0.1159090909090909,0,0,13,0,0,34,0.09018567639257294,0.08333333333333333,0.46666667,0.33333334,0.33333334,0
13,13,1393,12,1218,9,699,0,0.0,4,0.002871500358937545,0,0.0,4,0.002871500358937545,0,0.0,15,0.012315270935960592,0,0.0,26,0.022108843537414966,6,0.008583690987124463,0.0,0,0,14,0,0,52,0.042692939244663386,0.25,0.4,0.33333334,0.33333334,0
14,24,894,23,802,17,490,0,0.0,0,0.0,0,0.0,0,0.0,1,0.043478260869565216,26,0.032418952618453865,0,0.0,15,0.0195822454308094,40,0.08163265306122448,0.05000000000000002,0,0,22,0,0,77,0.09600997506234414,0.2608695652173913,0.26666668,0.33333334,0.0,0
15,10,640,10,553,7,361,0,0.0,0,0.0,0,0.0,1,0.0015625,0,0.0,4,0.007233273056057866,0,0.0,2,0.003683241252302026,20,0.055401662049861494,0.0,0,0,15,0,0,94,0.16998191681735986,0.3,0.73333335,1.0,1.0,1
16,6,56,6,52,5,37,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,0.019230769230769232,0,0.0,0,0.0,2,0.05405405405405406,0.0,0,0,13,0,0,9,0.17307692307692307,0.16666666666666666,0.0,0.0,0.0,0
17,15,813,14,728,11,447,0,0.0,0,0.0,0,0.0,0,0.0,1,0.07142857142857142,16,0.02197802197802198,0,0.0,0,0.0,45,0.10067114093959731,-0.08333333333333334,0,0,18,0,0,61,0.08379120879120878,0.21428571428571427,0.0,0.0,0.0,0
18,9,917,9,862,8,494,0,0.0,0,0.0,0,0.0,2,0.0021810250817884407,0,0.0,23,0.02668213457076566,0,0.0,0,0.0,21,0.04251012145748988,0.0,0,0,21,0,0,103,0.11948955916473318,0.1111111111111111,0.13333334,0.0,0.0,0
